account_name,account_id,advertiser,advertiser_currency,advertiser_id,advertiser_status,account_time_zone,campaign_name,campaign_id,creative_id,data_source_name,date,floodlight_activity,insertion_order,insertion_order_id,insertion_order_status,line_item,line_item_id,line_item_status,line_item_type,partner,partner_currency,partner_id,partner_status,active_view_distribution_viewable,active_view_viewable_impressions,billable_cost,billable_cost_advertiser,billable_cost_usd,clicks,cpm_fee_1,cpm_fee_1_advertiser,cpm_fee_1_usd,cpm_fee_2,cpm_fee_2_advertiser,cpm_fee_2_usd,cpm_fee_3,cpm_fee_3_advertiser,cpm_fee_3_usd,cpm_fee_4,cpm_fee_4_advertiser,cpm_fee_4_usd,cpm_fee_5,cpm_fee_5_advertiser,cpm_fee_5_usd,data_cost,data_cost_advertiser,data_cost_usd,impressions,last_clicks,last_impressions,media_cost,media_cost_advertiser,media_cost_usd,media_fee_1,media_fee_2,media_fee_3,media_fee_4,platform_fee,platform_fee_advertiser,platform_fee_usd,post_click_dfa_revenue,post_view_dfa_revenue,profit,profit_advertiser,profit_ecpc_advertiser,profit_usd,revenue,revenue_advertiser,revenue_ecpapv_u_sd,revenue_usd,conversions,total_media_cost,total_media_cost_advertiser,total_media_cost_usd
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO POSTPAGO | ATM 2022,52371406,425587407,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAG_ATM_CONS_EQU_RCH_WEBSU_13MAY22_31MAY22_7881_78814300843669001_JUNIO,1007467995,Active,ATM_ABI_CPM_NA_SUNMEDIA AVA TRADICIONAL_14MAY22_13MAY22_129499,17369727553,,Real-time bidding (Video),Affiperf Peru,USD,559147,Active,,0,5.1013,,5.1013,258,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,27785,0,0,141.7035,141.7035,141.7035,5.1013,0.0,0.0,0.0,5.1013,,,0.0,0.0,0.0,0.0,0.0,0.0,146.8048,146.8048,,146.8048,0,146.8048,146.8048,146.8048
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | IMAGEN DE HOGAR | 2022,52215977,428059580,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAH_IMAGEN DE HOGAR_EQU_BRD_DV360_01JUN22_30JUN22_8186_81864300843592001,1007610913,Active,IMAGEN DE HOGAR_ABI_CPM_NA_BRANDING_01JUN22_30JUN22_130396,17421626633,,Real-time bidding (Video),Affiperf Peru,USD,559147,Active,,71384,495.5502,,495.5502,416,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,90251,0,0,478.3303,478.3303,478.3303,17.2199,0.0,0.0,0.0,17.2199,,,0.0,0.0,0.0,0.0,0.0,0.0,495.5502,495.5502,,495.5502,0,495.5502,495.5502,495.5502
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,Claro | RECARGA 7 SOLES 5 DIAS | IMPRESIONES,52358104,427458197,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_PREPAGO 7 SOLES  POR 5 DIAS SUR_CONS_EQU_RCH_DV360_01JUN22_30JUN22_8103_81034300843592001,1007552530,Active,PREPAGO 7 SOLES POR 5 DIAS SUR_GEO_CPM_NA_PREPAGO 7 SOLES POR 5 DIAS_01JUN22_30JUN22_130226_ClaroSur,17378173406,,Real-time bidding,Affiperf Peru,USD,559147,Active,,356575,14.7397,,14.7397,117,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,396799,0,0,13.4609,13.4609,13.4609,1.2788,0.0,0.0,0.0,1.2788,,,0.0,0.0,0.0,0.0,0.0,0.0,14.7397,14.7397,,14.7397,0,14.7397,14.7397,14.7397
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,Claro | RECARGA 7 SOLES 5 DIAS | IMPRESIONES,52358104,427458789,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_PREPAGO 7 SOLES  POR 5 DIAS SUR_CONS_EQU_RCH_DV360_01JUN22_30JUN22_8103_81034300843592001,1007552530,Active,PREPAGO 7 SOLES POR 5 DIAS SUR_GEO_CPM_NA_PREPAGO 7 SOLES POR 5 DIAS_01JUN22_30JUN22_130226_ClaroSur,17378173406,,Real-time bidding,Affiperf Peru,USD,559147,Active,,36463,1.4239,,1.4239,17,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,41725,0,0,1.3004,1.3004,1.3004,0.1235,0.0,0.0,0.0,0.1235,,,0.0,0.0,0.0,0.0,0.0,0.0,1.4239,1.4239,,1.4239,0,1.4239,1.4239,1.4239
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,Claro | RECARGA 7 SOLES 5 DIAS | IMPRESIONES,52358104,427459395,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_PREPAGO 7 SOLES  POR 5 DIAS SUR_CONS_EQU_RCH_DV360_01JUN22_30JUN22_8103_81034300843592001,1007552530,Active,PREPAGO 7 SOLES POR 5 DIAS SUR_GEO_CPM_NA_PREPAGO 7 SOLES POR 5 DIAS_01JUN22_30JUN22_130226_ClaroSur,17378173406,,Real-time bidding,Affiperf Peru,USD,559147,Active,,94834,2.632,,2.632,5,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,103784,0,0,2.4037,2.4037,2.4037,0.2284,0.0,0.0,0.0,0.2284,,,0.0,0.0,0.0,0.0,0.0,0.0,2.632,2.632,,2.632,0,2.632,2.632,2.632
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,Claro | RECARGA 7 SOLES 5 DIAS | IMPRESIONES,52358104,427459992,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_PREPAGO 7 SOLES  POR 5 DIAS SUR_CONS_EQU_RCH_DV360_01JUN22_30JUN22_8103_81034300843592001,1007552530,Active,PREPAGO 7 SOLES POR 5 DIAS SUR_GEO_CPM_NA_PREPAGO 7 SOLES POR 5 DIAS_01JUN22_30JUN22_130226_ClaroSur,17378173406,,Real-time bidding,Affiperf Peru,USD,559147,Active,,226368,9.2229,,9.2229,63,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,245621,0,0,8.4228,8.4228,8.4228,0.8002,0.0,0.0,0.0,0.8002,,,0.0,0.0,0.0,0.0,0.0,0.0,9.2229,9.2229,,9.2229,0,9.2229,9.2229,9.2229
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424645195,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,6192,0.186,,0.186,10,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,6812,0,0,0.1699,0.1699,0.1699,0.0161,0.0,0.0,0.0,0.0161,,,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.186,,0.186,0,0.186,0.186,0.186
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424647289,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,77264,3.2717,,3.2717,305,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,81266,0,0,2.9879,2.9879,2.9879,0.2838,0.0,0.0,0.0,0.2838,,,0.0,0.0,0.0,0.0,0.0,0.0,3.2717,3.2717,,3.2717,0,3.2717,3.2717,3.2717
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424649593,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,1409,0.0281,,0.0281,3,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1551,0,0,0.0256,0.0256,0.0256,0.0024,0.0,0.0,0.0,0.0024,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0281,0.0281,,0.0281,0,0.0281,0.0281,0.0281
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424649595,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,1254862,52.6137,,52.6137,3355,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1325508,0,0,48.0491,48.0491,48.0491,4.5647,0.0,0.0,0.0,4.5647,,,0.0,0.0,0.0,0.0,0.0,0.0,52.6137,52.6137,,52.6137,0,52.6137,52.6137,52.6137
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424650090,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,39431,3.1544,,3.1544,298,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,49962,0,0,2.8807,2.8807,2.8807,0.2737,0.0,0.0,0.0,0.2737,,,0.0,0.0,0.0,0.0,0.0,0.0,3.1544,3.1544,,3.1544,0,3.1544,3.1544,3.1544
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651492,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,9356,0.7281,,0.7281,73,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,11410,0,0,0.6649,0.6649,0.6649,0.0632,0.0,0.0,0.0,0.0632,,,0.0,0.0,0.0,0.0,0.0,0.0,0.7281,0.7281,,0.7281,0,0.7281,0.7281,0.7281
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651588,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,29617,2.0816,,2.0816,167,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,33338,0,0,1.901,1.901,1.901,0.1806,0.0,0.0,0.0,0.1806,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0816,2.0816,,2.0816,0,2.0816,2.0816,2.0816
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651688,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,5766,4.1414,,4.1414,309,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,7352,0,0,3.7821,3.7821,3.7821,0.3593,0.0,0.0,0.0,0.3593,,,0.0,0.0,0.0,0.0,0.0,0.0,4.1414,4.1414,,4.1414,0,4.1414,4.1414,4.1414
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651691,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,150708,7.692,,7.692,705,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,161755,0,0,7.0246,7.0246,7.0246,0.6673,0.0,0.0,0.0,0.6673,,,0.0,0.0,0.0,0.0,0.0,0.0,7.692,7.692,,7.692,0,7.692,7.692,7.692
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651788,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Affinity,17251591805,,Real-time bidding,Affiperf Peru,USD,559147,Active,,22622,15.3669,,15.3669,1149,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,29478,0,0,14.0337,14.0337,14.0337,1.3332,0.0,0.0,0.0,1.3332,,,0.0,0.0,0.0,0.0,0.0,0.0,15.3669,15.3669,,15.3669,0,15.3669,15.3669,15.3669
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424645195,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Category,17262422336,,Real-time bidding,Affiperf Peru,USD,559147,Active,,276,0.0137,,0.0137,2,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,336,0,0,0.0125,0.0125,0.0125,0.0012,0.0,0.0,0.0,0.0012,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0137,,0.0137,0,0.0137,0.0137,0.0137
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424647289,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Category,17262422336,,Real-time bidding,Affiperf Peru,USD,559147,Active,,2341,0.0943,,0.0943,11,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2614,0,0,0.0861,0.0861,0.0861,0.0082,0.0,0.0,0.0,0.0082,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0943,0.0943,,0.0943,0,0.0943,0.0943,0.0943
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424649593,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Category,17262422336,,Real-time bidding,Affiperf Peru,USD,559147,Active,,22,0.0005,,0.0005,0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,26,0,0,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0005,0.0005,,0.0005,0,0.0005,0.0005,0.0005
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424649595,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Category,17262422336,,Real-time bidding,Affiperf Peru,USD,559147,Active,,75303,3.1167,,3.1167,262,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,80953,0,0,2.8463,2.8463,2.8463,0.2704,0.0,0.0,0.0,0.2704,,,0.0,0.0,0.0,0.0,0.0,0.0,3.1167,3.1167,,3.1167,0,3.1167,3.1167,3.1167
