account_name,advertising_channel_sub_type,advertising_channel_type,bidding_strategy,bidding_strategy_id,bidding_strategy_type,campaign_id,campaign_labels,campaign_name,campaign_status,currency,data_source_name,date,account_id,daily_budget,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,impression_share,interactions,search_absolute_top_impression_share,search_budget_lost_impression_share,search_exact_match_impression_share,search_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,top_impression_percentage,total_budget,available_impressions,video_impressions,video_views,view_through_conversions
Fijos,,Video,,,Target CPM,16248971969,,CLARO_CLAH_B2S I_EQU_RCH_YTME_16FEB22_28FEB22_6210_62104300843677001,enabled,USD,Google Ads,2022-04-19,5130185605,500.0,405,0.0,0.0,145.411,134.8672,111.773,145.411,54027,155040,,54027,0.0,,,,0.0,0.0,0.0,,0,155066,39852,0.0
Fijos,,Video,,,Target CPM,16581061349,,CLARO_CLAH_IMAGEN DE HOGAR_EQU_RCH_YTME_16MAR22_31MAR22_6703_67034300843677001,enabled,USD,Google Ads,2022-04-19,5130185605,,574,0.0,0.0,207.971,192.891,159.861,207.971,82677,233638,,82677,0.0,,,,0.0,0.0,0.0,26299.68,0,233648,60912,0.0
Fijos,,Video,,,Target CPM,16779171838,,CLARO_CLAH_NETFLIX MANTENIMIENTO SUR_CONS_EQU_RCH_YTME_01ABR22_30ABR22_7003_70034300843677001,enabled,USD,Google Ads,2022-04-19,5130185605,,9,0.0,0.0,11.1163,10.3102,8.5447,11.1163,11235,27247,,11236,0.0,,,,0.0,0.0,0.0,,0,27250,5210,0.0
Fijos,Drive conversions,Video,,,Maximize Conversions,15452185098,,Remarketing Youtube Beta,enabled,USD,Google Ads,2022-04-19,5130185605,,199,0.0,0.0,27.1788,25.2081,20.8916,27.1788,13659,24083,,13659,0.0,,,,0.0,0.0,0.0,,0,24076,9501,0.0
Fijos,Non-skippable in-stream,Video,,,Target CPM,16788180944,,CLARO_FCLAR_FULL CLARO_CONS_BRD_YTME_04ABR22_30ABR22_7166_71664300843677001,enabled,USD,Google Ads,2022-04-19,5130185605,,17,0.0,0.0,59.5734,55.2537,45.7923,59.5734,0,73170,,17,0.0,,,,0.0,0.0,0.0,5500.0,0,,0,0.0
Postpago,Non-skippable in-stream,Video,,,Target CPM,16181371610,,CLARO_CLAG_UN BUEN PLAN _CONS_RCH_YTME_09FEB22_28FEB22_6163_61634300943677001,enabled,USD,Google Ads,2022-04-19,5877113422,,31,0.0,0.0,31.8397,29.531,24.4742,31.8397,0,20782,,31,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Prepago,,Video,,,Target CPM,16022331348,,CLARO_CLAP_RECARGA VIBRAS_EQU_VVW_FBIGME_28ENE22_28FEB22_5938_59384300843599002,enabled,USD,Google Ads,2022-04-19,8724931293,,1227,0.0,0.0,74.0574,68.6875,56.9257,74.0574,75261,207287,,75261,0.0,,,,0.0,0.0,0.0,47837.81,0,207263,64376,0.0
Prepago,,Video,,,Target CPM,16050167187,,CLARO_CLAP_RECARGA VIBRAS_EQU_BRD_YTME_28ENE22_28FEB22_5938_59384300843677002,enabled,USD,Google Ads,2022-04-19,8724931293,,662,0.0,0.0,52.0589,48.2841,40.0161,52.0589,0,212798,,662,0.0,,,,0.0,0.0,0.0,28628.35,0,,0,0.0
Prepago,Non-skippable in-stream,Video,,,Target CPM,16080657015,,CLARO_CLAP_RECARGA VIBRAS_EQU_BRD_YTME_28ENE22_28FEB22_5938_59384300843677003,enabled,USD,Google Ads,2022-04-19,8724931293,,60,0.0,0.0,49.0409,45.4849,37.6962,49.0409,0,43293,,60,0.0,,,,0.0,0.0,0.0,23436.96,0,,0,0.0
VAS,Non-skippable in-stream,Video,,,Target CPM,16106134204,,CLARO_CLVI_CLARO VIDEO BENEFICIOS_EQUCONS_RCH_YTME_01JUL21_31DIC22_6364_ 63644300843677001,enabled,USD,Google Ads,2022-04-19,7093349029,,23,0.0,0.0,29.2284,27.109,22.467,29.2284,0,15375,,23,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13005361626,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_MAX BRAND_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,25.37,36,0.0,0.0,9.7,8.9967,7.4561,9.7,0,86,,36,,,,,0.0,,0.98,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13005362109,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_FIBRA BRAND_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,36.68,8,0.0,0.0,6.4291,5.963,4.9419,6.4291,0,159,,8,,,,,0.0,,0.95,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13006684483,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_HFC BRAND_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,13.59,34,0.0,0.0,9.75,9.043,7.4945,9.75,0,118,,34,,,,,0.0,,0.95,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13006685905,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_HFC GENERIC_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,49.74,16,0.0,0.0,15.1,14.0051,11.6069,15.1,0,226,,16,,,,,0.0,,0.96,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13007362703,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_FIBRA GENERIC_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,8.79,7,0.0,0.0,3.31,3.07,2.5443,3.31,0,88,,7,,,,,0.0,,0.89,,0,,0,0.0
Fijos,,Search,,,Maximize Conversion Value,10741993878,"[""B2S2021""]",CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634004_BRAND,enabled,USD,Google Ads,2022-04-19,5130185605,255.0,307,1.0,18.74,68.86,63.8669,52.9306,68.86,0,1261,,307,,,,,0.0,,0.99,,0,,0,0.0
Fijos,,Search,,,Maximize Conversion Value,10741993884,"[""B2S2021""]",CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634001_GENERICO,enabled,USD,Google Ads,2022-04-19,5130185605,200.0,155,0.0,0.0,73.56,68.2261,56.5433,73.56,0,1262,,155,,,,,0.0,,0.93,,0,,0,0.0
Fijos,,Search,,,Maximize Conversion Value,12952255677,,CLARO_CLAH_FIBRA OPTICA_CONV_CON_SEARCH_01AGO21_31AGO21_4819_48194300743634001_GEN,enabled,USD,Google Ads,2022-04-19,5130185605,133.0,88,0.0,0.0,55.27,51.2624,42.4844,55.27,0,1557,,88,,,,,0.0,,0.98,,0,,0,0.0
Fijos,,Search,,,Maximize Conversion Value,12952689242,,CLARO_CLAH_FIBRA OPTICA_CONV_CON_SEARCH_01AGO21_31AGO21_4523_45234300743634001_BR,enabled,USD,Google Ads,2022-04-19,5130185605,223.0,153,0.0,0.0,70.24,65.1469,53.9914,70.24,0,1091,,153,,,,,0.0,,0.98,,0,,0,0.0
Fijos,,Search,,,Maximize Conversion Value,14377930266,"[""B2S2021""]",CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634002_GENERICO_NUEVO,enabled,USD,Google Ads,2022-04-19,5130185605,260.0,253,1.0,29.45,108.57,100.6976,83.4545,108.57,0,3311,,253,,,,,0.0,,0.97,,0,,0,0.0
Fijos,,Search,,,Maximize Conversion Value,14378774550,"[""B2S2021""]",CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634006_COMPETENCIA_NUEVA,enabled,USD,Google Ads,2022-04-19,5130185605,260.0,180,1.0,37.48,97.54,90.4674,74.976,97.54,0,2515,,180,,,,,0.0,,0.99,,0,,0,0.0
Fijos,,Search,,,Maximize Conversions,10741993881,"[""B2S2021""]",CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634005_COMPETENCIA,enabled,USD,Google Ads,2022-04-19,5130185605,30.0,2,0.0,0.0,7.11,6.5945,5.4652,7.11,0,34,,2,,,,,0.0,,0.76,,0,,0,0.0
Fijos,,Search,,,Maximize Conversions,11567189249,,CLARO_FCLAR_AO FC_CONS_TRF_SEARCH_01AGO21_31AGO21_4526_45264300943634001_BRAND,enabled,USD,Google Ads,2022-04-19,5130185605,120.0,173,1.0,0.0,47.09,43.6755,36.1967,47.09,0,507,,173,,,,,0.0,,0.99,,0,,0,0.0
Fijos,,Search,,,Maximize Conversions,11567189252,,CLARO_FCLAR_AO FC_CONS_TRF_SEARCH_01AGO21_31AGO21_4526_45264300943634002_COMPETENCIA,enabled,USD,Google Ads,2022-04-19,5130185605,120.0,29,0.0,0.0,20.39,18.9115,15.6732,20.39,0,1062,,29,,,,,0.0,,0.99,,0,,0,0.0
Fijos,,Search,,,Maximize Conversions,13077651978,,CLARO_CLAH_LA NUEVA TV_CONV_CON_SEARCH_13MAY21_31DIC22_2114_21144300743634001,enabled,USD,Google Ads,2022-04-19,5130185605,144.0,112,0.0,0.0,23.64,21.9259,18.1714,23.64,0,919,,112,,,,,0.0,,0.92,,0,,0,0.0
Fijos,,Search,,,Maximize Conversions,14322935958,"[""B2S2021""]",CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634003_BRAND_NUEVA,enabled,USD,Google Ads,2022-04-19,5130185605,3000.0,3682,2.99,116.27,1612.46,1495.5402,1239.449,1612.46,0,14641,,3682,,,,,0.0,,1.0,,0,,0,0.0
Fijos,,Search,,,Maximize Conversions,15786997321,,CLARO_CLAH_SEARCH NETFLIX_CONV_CON_SEARCH_01ENE22_31ENE22_5746_57464300743634001_BRAND,enabled,USD,Google Ads,2022-04-19,5130185605,310.0,267,3.99,156.43,49.13,45.5676,37.7647,49.13,0,1639,,267,,,,,0.0,,0.95,,0,,0,0.0
Imagen,,Search,,,Maximize Conversions,1694372833,,Claro - Brand Puro - Search,enabled,USD,Google Ads,2022-04-19,7465087050,786.72,401,0.0,0.0,140.8652,130.6511,108.2788,140.8652,0,15487,,401,,,,,0.0,,1.0,,0,,0,0.0
Postpago,,Search,,,Maximize Conversions,15631307731,,CLARO_CLAG_UPSELL_CONV_CON_SEARCH_14MAY21_31DIC21_1049_10494300743634001_MIGRACION,enabled,USD,Google Ads,2022-04-19,5877113422,96.0,98,0.0,0.0,26.2144,24.3135,20.1502,26.2144,0,1089,,98,,,,,0.0,,1.0,,0,,0,0.0
Postpago,,Search,,,Maximize Conversions,15647837715,,CLARO_CLAG_CLARO MAX_CONV_CON_SEARCH_19MAR21_31DIC21_1039_10394300743634002_GE - Migracion,enabled,USD,Google Ads,2022-04-19,5877113422,35.0,92,0.0,0.0,11.87,11.0093,9.1241,11.87,0,441,,92,,,,,0.0,,0.96,,0,,0,0.0
Postpago,,Search,,,Maximize Conversions,15647837733,,CLARO_CLAG_CLARO MAX_CONV_CON_SEARCH_19MAR21_31DIC21_1039_10394300743634001_BR - Migracion,enabled,USD,Google Ads,2022-04-19,5877113422,127.0,339,1.0,0.0,46.62,43.2396,35.8354,46.62,0,2666,,339,,,,,0.0,,0.99,,0,,0,0.0
Postpago,,Search,,,Maximize Conversions,15647882157,,PER_HMLIM_CLA_PSPG_AON_CAMPAÑA PORTABILIDAD_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_GE_01OCT20_31DIC21_HM 15-65 ABC_55127_55407_55641 - Migracion,enabled,USD,Google Ads,2022-04-19,5877113422,50.0,83,2.0,0.0,19.62,18.1973,15.0813,19.62,0,287,,83,,,,,0.0,,0.95,,0,,0,0.0
Postpago,,Search,,,Maximize Conversions,15655163450,,PER_HMLIM_CLA_PSPG_AON_CAMPAÑA PORTABILIDAD_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_BR_01OCT20_31DIC21_HM 15-65 ABC_55127_55407_55641 - Migracion,enabled,USD,Google Ads,2022-04-19,5877113422,96.0,195,1.0,0.0,38.94,36.1165,29.932,38.94,0,507,,195,,,,,0.0,,0.96,,0,,0,0.0
Postpago,,Search,,,Maximize Conversions,15655207325,,PER_HMLIM_CLA_PSPG_AON_CAMPAÑA PORTABILIDAD_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_CO_01OCT20_31DIC21_HM 15-65 ABC_55127_55407_55641 - Migracion,enabled,USD,Google Ads,2022-04-19,5877113422,40.0,64,2.0,0.0,17.46,16.194,13.421,17.46,0,445,,64,,,,,0.0,,0.95,,0,,0,0.0
Prepago,,Search,,,Maximize Conversions,11963591228,,CLARO_CLAP_5 SOLES 5 DIAS_CONS_TRF_SEARCH_01ENE22_31DIC22_5578_55784300943634001,enabled,USD,Google Ads,2022-04-19,8724931293,320.0,452,0.0,0.0,43.4557,40.3047,33.4031,43.4557,0,2001,,452,,,,,0.0,,0.98,,0,,0,0.0
Prepago,,Search,,,Maximize clicks,16472221194,,CLARO_CLAP_RECARGA VIBRAS_CONS_TRF_SEARCH_03MAR22_31MAR22_6578_65784300943634001,enabled,USD,Google Ads,2022-04-19,8724931293,93.0,597,0.0,0.0,32.96,30.5701,25.3354,32.96,0,2186,,597,,,,,0.0,,0.99,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,10314336180,"[""Equipos Claro"",""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_BR_15JUN20_31DIC21_MARCAS POSTPAGO_pacingtm  TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,255.0,506,0.0,0.0,84.5954,78.4614,65.0259,84.5954,0,1604,,506,,,,,0.0,,0.97,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,10314336183,"[""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_BR_15JUN20_31DIC21_POSTPAGO SEARCH_pacingtm TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,1900.0,3742,2.0,1200.0,712.18,660.5397,547.4311,712.18,0,9051,,3742,,,,,0.0,,0.99,,0,,0,0.0
