currency,account_id,account_name,campaign_group_end_date,campaign_group_id,campaign_group_name,campaign_id,campaign_name,creative_dsc_name,creative_id,creative_reference_id,creative_reference_type,creative_status,creative_text,creative_title,creative_type,creative_url,data_source_name,date,utm_campaign,utm_content,utm_medium,utm_source,utm_term,clicks,comments,company_page_clicks,conversions,conversion_value,follows,impressions,landing_page_clicks,likes,nonchargeable_clicks,lead_form_opens,leads,cost_per_lead,other_engagements,post_click_conversions,shares,cost,cost_eur,cost_gbp,cost_usd,total_engagements,video_completions,video_first_quartile_completions,video_midpoint_completions,video_third_quartile_completions,video_views,view_through_conversions,viral_clicks,viral_comments,viral_company_page_clicks,viral_follows,viral_impressions,viral_landing_page_clicks,viral_likes,viral_lead_form_opens,viral_leads,viral_other_engagements,viral_shares,viral_total_engagements
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,175586066,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_CONS_VVW_LKDME_01ENE22_31ENE22_5380_53804300843611002,,157480066,6882067188333719552,ugcPost,PAUSED,"Las ventajas de la geolocalización han abierto puertas extraordinarias. Con nuestra solución móvil e-Track, monitorear la ubicación de sus colaboradores y asegurar el cumplimiento eficiente de sus rutas de trabajo en tiempo real, está a su alcance. Conozca más los detalles en: https://cl4.ro/etklkn",e-Track,SPONSORED_VIDEO,,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,180668846,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_VVW_LKDME_01FEB22_31DIC22_6505_ 65054300943611001,,178285476,6918200144970575872,ugcPost,PAUSED,"Para mantener a los colaboradores informados, es importante brindar un correcto acceso a la información de la empresa, por ello, nuestra solución móvil e-Content, agiliza el acceso a la información de su organización desde una aplicación móvil sin necesidad de conectarse a una red corporativa. Entérese más del servicio en: https://cl4ro.pe/econtent",,SPONSORED_VIDEO,,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,182581566,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_VVW_LKDME_01FEB22_31DIC22_6505_ 65054300943611001_MAYO,,184335346,6925545893039345664,ugcPost,PAUSED,"Facilite el trabajo en línea con nuestra solución Estación Remota Segura. Sus colaboradores podrán acceder de forma remota a las aplicaciones y los archivos de su empresa (file servers, aplicaciones web, legacy, SW ERP, etc) desde cualquier dispositivo, navegador web y lugar con conexión a internet. Entérese más del servicio y #AcelereElCrecimiento de su empresa con: https://lnkd.in/dtNZmsbX",Estación Remota Segura,SPONSORED_VIDEO,,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,182581566,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_VVW_LKDME_01FEB22_31DIC22_6505_ 65054300943611001_MAYO,,189798846,6937072624489414656,ugcPost,ACTIVE,"Nuestra Solución de Ciberseguridad SASE, aporta a minimizar el trabajo manual y agilizar los tiempos de aprovisionamiento. Además, como es un servicio desde la nube, la optimización de costos es un beneficio permanente porque reduce costos de gestión e infraestructura de seguridad informática. Entérese más del servicio aquí: https://cl4ro.pe/saselnk",,SPONSORED_VIDEO,,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,181619806,CLARO_CLAROEMPRESAS_VIDEOS TESTIMONIALES_EQU_CONS_RCH_LKDME_18ABR22_18MAY22_7404_74044300843611001,,179620536,6921970441532190720,ugcPost,ACTIVE,"Nos complace ser aliados de la Fábrica de Chocolates La Ibérica Perú, líder en producción de chocolates, empresa que actualmente confía en nuestros servicios y nos permite conectar a todas sus sedes con nuestra gran cobertura. Conoce más sobre nuestros servicios aquí: https://lnkd.in/dcfmJs_k  #HistoriasDeCrecimiento",Historias de Crecimiento,SPONSORED_VIDEO,https://www.youtube.com/watch?v=UpkaG7zYVrg,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,184641726,CLARO_CLAROEMPRESAS_VIDEOS TESTIMONIALES_EQU_CONS_RCH_LKDME_18ABR22_18MAY22_7404_74044300843611001_Junio,,189992156,6921970441532190720,ugcPost,ACTIVE,"Nos complace ser aliados de la Fábrica de Chocolates La Ibérica Perú, líder en producción de chocolates, empresa que actualmente confía en nuestros servicios y nos permite conectar a todas sus sedes con nuestra gran cobertura. Conoce más sobre nuestros servicios aquí: https://lnkd.in/dcfmJs_k  #HistoriasDeCrecimiento",Historias de Crecimiento,SPONSORED_VIDEO,https://www.youtube.com/watch?v=UpkaG7zYVrg,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,178695316,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_RCH_LKDME_01FEB22_31DIC22_6505_ 65054300843611001,,169674526,6907011638986481664,share,PAUSED,"Las empresas buscan integrar todos sus recursos tecnológicos en múltiples ambientes, explotando el rendimiento, eficiencia y la protección necesaria para su información. Actualmente, el uso de nubes híbridas en Perú va en ascenso. Te invitamos a conocer más en la siguiente nota: https://bit.ly/3hKmt2n",,SPONSORED_STATUS_UPDATE,https://media-exp1.licdn.com/dms/image/C4E22AQHLMNd0fGIz-Q/feedshare-shrink_1280/0/1646759899604?e=1656547200&v=beta&t=5unQrCfnTLgrHy--pHN64q8ntYEA0F-RcL73jCeTxWA,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,182581376,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_RCH_LKDME_01FEB22_31DIC22_6505_ 65054300843611001_MAYO,,188976156,6935238735718465536,share,PAUSED,"En el Perú, hace 3 años, solo el 5% de empresas líderes de cada sector de la industria invertían de forma regular en el desarrollo de aplicaciones o tecnologías orientadas a comercializar sus productos, hoy en día es importante automatizar procesos, atender clientes online y más. Conozca más en la siguiente nota: https://bit.ly/3wiPj24",,SPONSORED_STATUS_UPDATE,https://media-exp1.licdn.com/dms/image/C5622AQFDMbDjZsnKDw/feedshare-shrink_1280/0/1653489764483?e=1656547200&v=beta&t=oGkDsw4XThm4I3UpTdeTCAZ6IIKNx1-FZAf59j1-r-E,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,182581376,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_RCH_LKDME_01FEB22_31DIC22_6505_ 65054300843611001_MAYO,,189666576,6935724723834163200,share,ACTIVE,"En enero del 2022, según el informe de Ransomware Spotlight, se presentó un aumento del 7.6% en las vulnerabilidades del ransomware. Una de las razones, es la falta de visibilidad completa de las amenazas para los equipos de seguridad. Entérese más noticias relevantes del sector aquí: https://cl4.ro/bcemay4 Además, no olvide suscribirse al boletín de forma GRATUITA: https://bit.ly/39eGLwy",,SPONSORED_STATUS_UPDATE,https://media-exp1.licdn.com/dms/image/C5622AQHavy8qZrBhIw/feedshare-shrink_1280/0/1653605632185?e=1656547200&v=beta&t=88quQWuHdLAkpL9qWn8D-9B4QGnkRYLut_Ybiud2DKo,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,184629896,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_RCH_LKDME_01FEB22_31DIC22_6505_ 65054300843611001_JUNIO,,189964456,6935724723834163200,share,PAUSED,"En enero del 2022, según el informe de Ransomware Spotlight, se presentó un aumento del 7.6% en las vulnerabilidades del ransomware. Una de las razones, es la falta de visibilidad completa de las amenazas para los equipos de seguridad. Entérese más noticias relevantes del sector aquí: https://cl4.ro/bcemay4 Además, no olvide suscribirse al boletín de forma GRATUITA: https://bit.ly/39eGLwy",,SPONSORED_STATUS_UPDATE,https://media-exp1.licdn.com/dms/image/C5622AQHavy8qZrBhIw/feedshare-shrink_1280/0/1653605632185?e=1656547200&v=beta&t=88quQWuHdLAkpL9qWn8D-9B4QGnkRYLut_Ybiud2DKo,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,175586526,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_CONS_RCH_LKDME_01ENE22_31ENE22_5380_53804300843611001,,158206456,6884888008508669952,share,PAUSED,"Después de más de 18 meses de incertidumbre; los trabajadores esperan la gran reapertura. Sin embargo, ha surgido una nueva era de trabajo híbrido.  Lea más de ésta y otras noticias relevantes sobre Ciberseguridad aquí: https://cl4.ro/bceene2 Suscríbase de forma GRATUITA a través del siguiente enlace: https://bit.ly/39eGLwy",,SPONSORED_STATUS_UPDATE,https://media-exp2.licdn.com/dms/image/C4E22AQHXe4kSRj0q_A/feedshare-shrink_1280/0/1641485215821?e=1657152000&v=beta&t=aemt-2Xa7Rr3Ibp_TVIlujusVIYne_S7tdNRJo8g4ks,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,184629896,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_RCH_LKDME_01FEB22_31DIC22_6505_ 65054300843611001_JUNIO,,190869196,6937844297576693760,share,PAUSED,"El Ministerio de Energía y Minas (Minem) informó que durante el primer trimestre del 2022, las exportaciones mineras metálicas y no metálicas alcanzaron la cifra de US$ 9.579 millones, reflejando un importante aumento de 9,7% con respecto al mismo periodo del 2021. Te invitamos a conocer más en la siguiente nota: https://bit.ly/3yRJ2Mm",,SPONSORED_STATUS_UPDATE,https://media-exp2.licdn.com/dms/image/C5622AQFBQQCcrS9kxA/feedshare-shrink_1280/0/1654110977959?e=1657152000&v=beta&t=FsDQF5xxGj5om4L8KiVC-s652Dq4wxZ7TJabrZ5mWPo,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,184629896,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_RCH_LKDME_01FEB22_31DIC22_6505_ 65054300843611001_JUNIO,,175465194,6938521588501803008,share,PAUSED,"Actualmente las amenazas cibernéticas han evolucionado considerablemente. Según Jaspal Sawhney, CISO global de Tata Communications, indica que la mejor defensa es fomentar la cultura de ciberseguridad en su compañía y en cada miembro de la organización. Entérese de estas y otras noticias relevantes al sector aquí: https://cl4.ro/bcemay5  Además, no olvide suscribirse al boletín de forma GRATUITA: https://bit.ly/39eGLwy",,SPONSORED_STATUS_UPDATE,https://media-exp2.licdn.com/dms/image/C5622AQFGPEqNlOLVSg/feedshare-shrink_1280/0/1654272456694?e=1657152000&v=beta&t=lJEo10RQ-a8YqrDvWrsPfCSWGVd36rjGedGXug5Z4EI,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,184629896,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_RCH_LKDME_01FEB22_31DIC22_6505_ 65054300843611001_JUNIO,,191806846,6939677997708820481,share,ACTIVE,"En los últimos años, la tecnología cloud se ha convertido en una prioridad para el crecimiento de las empresas. El tamaño del mercado de la nube en Perú alcanzo los US$427 millones en 2021, según el reporte IDC Public Cloud Tracker 2021H1. Entérese de la noticia completa aquí: https://bit.ly/3PXjSSF",,SPONSORED_STATUS_UPDATE,https://media-exp2.licdn.com/dms/image/C5622AQGJL9DkBWsBaQ/feedshare-shrink_1280/0/1654548166299?e=1657756800&v=beta&t=P4ySzVAelFZL2NQr8VOibpDtgCdeCn4poEM8pFSMyJ4,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,83,0,21,0,0.0,0,35762,30,6,,0,0,,26,0,0,159.404,148.7325,127.1266,159.404,83,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,1,0,1
USD,506730622,ag_claronegociosperu_cis_2020_pe,,608374054,Default Campaign Group,184631046,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_VVW_LKDME_01FEB22_31DIC22_6505_ 65054300943611001_JUNIO,,189966416,6937072624489414656,ugcPost,ACTIVE,"Nuestra Solución de Ciberseguridad SASE, aporta a minimizar el trabajo manual y agilizar los tiempos de aprovisionamiento. Además, como es un servicio desde la nube, la optimización de costos es un beneficio permanente porque reduce costos de gestión e infraestructura de seguridad informática. Entérese más del servicio aquí: https://cl4ro.pe/saselnk",,SPONSORED_VIDEO,,LinkedIn Ads,2022-06-08,,,cpc,linkedin,,43,0,13,0,0.0,0,19696,1,3,,0,0,,50,0,0,143.6851,134.0659,114.5906,143.6851,96,500,2476,1128,680,6654,0,0,0,0,0,16,0,0,0,0,0,0,0